"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1843978235690025079","Wed Oct 09 11:34:05 +0000 2024","86","Soal Kabinet Gemuk Prabowo: Negara Kita Besar Bung! https://t.co/AlakUwdY1f","1843978235690025079","","","in","","15","103","23","https://x.com/VIVAcoid/status/1843978235690025079","41730943","VIVAcoid"
"1843067762429854101","Sun Oct 06 23:16:11 +0000 2024","358","Awokawokwokwok.... Prabowo yang mau dijadikan KAMBING HITAM kah...? https://t.co/jiaHybobXl https://t.co/rEE3H5kZlm","1843067762429854101","https://pbs.twimg.com/media/GZPkXKrbMAAbxR6.jpg","","in","","18","118","159","https://x.com/BebySoSweet/status/1843067762429854101","1708495620376571904","BebySoSweet"
"1844536042541678848","Fri Oct 11 00:30:37 +0000 2024","309","Kadang sedih dan kepikiran juga bila nanti May Ted sudah tidak bersama dan menjaga ayah Prabowo ... Memang luar.biasa ... https://t.co/TfsEhBvrrm","1844536042541678848","https://pbs.twimg.com/ext_tw_video_thumb/1844535994370097153/pu/img/fwYSdF6zfoAJVpla.jpg","","in","Kebumen, Indonesia","12","72","56","https://x.com/bengkeldodo/status/1844536042541678848","576755999","bengkeldodo"
"1844686275347148928","Fri Oct 11 10:27:35 +0000 2024","373","Pesan SBY ke Prabowo: Jangan Takut untuk Dikritik Jangan kayak pemerintahan Pak Jokowi dikit-dikit ditangkap dipenjara dengan pasal karet ITE https://t.co/iRGQOVa54m","1844686275347148928","https://pbs.twimg.com/ext_tw_video_thumb/1844686197958025217/pu/img/kQCPLXpbcP-flxWq.jpg","","in","","4","16","127","https://x.com/CakKhum/status/1844686275347148928","1112540525771386880","CakKhum"
"1845438147129377086","Sun Oct 13 12:15:15 +0000 2024","19","Jokowi dan Prabowo Mendadak Gelar Pertemuan Tertutup di Solo Ada Apa? https://t.co/CgdEasethK","1845438147129377086","","","in","Jakarta","10","34","9","https://x.com/kompascom/status/1845438147129377086","23343960","kompascom"
"1843502891933536399","Tue Oct 08 04:05:14 +0000 2024","4839","Jokowi Bilang Kemungkinan Tidak Hadir saat Pelantikan Prabowo di Senayan https://t.co/jswjab0mNm","1843502891933536399","","","in","Indonesia","498","1334","820","https://x.com/tempodotco/status/1843502891933536399","18129942","tempodotco"
"1844510112544850363","Thu Oct 10 22:47:34 +0000 2024","5","Luhut mengaku sudah melapor soal cara meningkatkan penerimaan negara kepada Presiden terpilih Prabowo Subianto. https://t.co/Laks47tPRn","1844510112544850363","","","in","Jakarta","5","38","4","https://x.com/kompascom/status/1844510112544850363","23343960","kompascom"
"1844643166202495387","Fri Oct 11 07:36:17 +0000 2024","8441","Prabowo Sentil Keras Tukang Caci Maki: Tidak Lama Lagi Akan Terbukti https://t.co/gYfemjHBBP","1844643166202495387","","","in","","307","673","1328","https://x.com/CNNIndonesia/status/1844643166202495387","17128975","CNNIndonesia"
"1842885597305954350","Sun Oct 06 11:12:20 +0000 2024","121","Trimakasih Jokowi.. Yg telah memberikan pelajaran pada kami utk Tidak mudah Percaya dg Penampilan seseorang 10 tahun kami mendukung dg segala suka dukanya inilah yg kau persembahkan diakhir masa jabatannya pada kami - - Bahrain Prabowo Minggu https://t.co/ozKIPCQBeZ","1842885597305954350","https://pbs.twimg.com/media/GZM-qqrbgAA4lNS.jpg","","in","Jateng  Indonesia","0","9","41","https://x.com/Ghurem2/status/1842885597305954350","1248538148990152704","Ghurem2"
"1843676719271817679","Tue Oct 08 15:35:58 +0000 2024","96","Entah kenapa belakangan banyak sekali pihak yang gencar menyampaikan narasi sesat bahwa hubungan Pak Jokowi dan Pak Prabowo sedang tidak baik-baik saja. Padahal mereka berdua tokoh bangsa yang saling menghormati dan menyayangi. Terima kasih untuk penjelasannya Bro @Uki23. https://t.co/YKZCzeJDzo","1843676719271817679","https://pbs.twimg.com/ext_tw_video_thumb/1843676654671147012/pu/img/iw7yINvDUY-a5X5H.jpg","","in","ÜT: 55.753181,37.618633","3","52","21","https://x.com/sigitwid/status/1843676719271817679","168082298","sigitwid"
