id_str,full_text
1763041296548249981,Terima kasih kepada Presiden RI @jokowi atas anugerah dan kehormatan ini terima kasih kepada Tentara Nasional Indonesia dan Kepolisian Republik Indonesia serta seluruh prajurit TNI dan Polri di seluruh Indonesia. Sejak umur 18 tahun saya mengucap sumpah untuk selalu setia https://t.co/hz0AKwLAK2
1769929481169625124,Gwa kan hari ini ke jkt naek whoosh bawa mobil dari rumah parkir di st padalarang. Ternyata sini banyak mobil mevvah parkir juga kayaknya mereka daytrip bdg jkt pp (or nginep) Dateng - parkir - 30 menit sampe jkt - kerja/urusan - balik 30 menit - nyetir ke rumah. Enak juga sih https://t.co/oFS0mjyF4N
1845102364199616673,Pernyataan jkw tidak ikut cawe2 dalam penyusunan kabinet prabowo DIBANTAH fufufafa https://t.co/VxX3suLuDi
1755467556918366585,Di 2014 Luhut tegas mengatakan: TNI yg dipecat masak mau jadi presiden . Hari ini Luhut mendukung TNI yg dipecat itu untuk menjadi presiden. Ketika disebut mantan jenderal yg mencla mencle Luhut marah. Luhut nampaknya ketularan Prabowo. Bukan lagi pemberani tapi pemarah. https://t.co/BgeHaZpOCk
1844910293400551544,Hari ini saya meresmikan Istana Negara di IKN. Bangunan ini memiliki kualitas tinggi dan dirancang untuk mendukung pelaksanaan tugas-tugas pemerintahan di IKN secara optimal. Selanjutnya Istana Garuda yang sudah dalam tahap penyelesaian akan diresmikan oleh Presiden Prabowo https://t.co/daEWv8V2py
1842397209826111789,Modal legitimasi awal Pak Prabowo dan Mas Gibran sangat tinggi. Optimis di tangan Pak Prabowo dan Mas Gibran Indonesia bisa melompat lebih tinggi; berlari lebih kencang. Dari Indonesia maju menjadi Indonesia lebih laju. Bismillah! https://t.co/vIRlbv5VuA
1844755837480542312,Kepala Prabowo mulai berasap.... #FufufafaAdalahGibran https://t.co/CumfsxpBBQ
1746085735592304724,Lumayan dapat kain lap terus dapat duit. Seperti kata Prabowo ambil duitnya jangan pilih orangnya. Kain lapnya jgn lupa tetap dipakai. Bgmn betul tidak sappo? #AsalBukanPrabowo https://t.co/6n2uKM0Ir8
1843979303362654388,Ingin Disebut Pahlawan Yang Akan Bela Prabowo Kaesang Malah Disuruh Netizen Lawan Dulu Fufufafa yang Sudah Berani Merendahkan Harkat dan Martabat Keluarga Prabowo. https://t.co/cMuPs4wJbK
1844685395348619675,Gibran Sebut Jokowi Beri Masukan ke Prabowo soal Susunan Kabinet https://t.co/MOmWkTdwfA https://t.co/d2GNBBX4MV
